fea1,fea2,fea3,fea4,fea5
28,0,绿,1230,43.9285714286
33,0,绿,72,2.18181818182
7,0,绿,101,14.4285714286
9,0,绿,113,12.5555555556
20,0,绿,69,3.45
24,0,绿,4491,187.125
12,0,绿,1398,116.5
3,0,绿,238,79.3333333333
11,0,绿,139,12.6363636364
4,0,绿,392.113,98.02825
14,0,绿,744,53.1428571429
3,0,绿,150,50
14,0,绿,1450.878,103.634142857
11,0,绿,252,22.9090909091
7,0,绿,109,15.5714285714
14,0,绿,51,3.64285714286
13,0,绿,689,53
10,0,绿,1143,114.3
2,0,绿,52,26
29,0,绿,395,13.6206896552
3,0,绿,154,51.3333333333
20,0,绿,714,35.7
20,0,绿,442,22.1
14,0,绿,695,49.6428571429
19,0,绿,738,38.8421052632
23,0,绿,891,38.7391304348
12,0,绿,125,10.4166666667
6,0,绿,180,30
7,0,绿,115,16.4285714286
7,0,绿,191.29,27.3271428571
23,2,绿,134,5.82608695652
18,2,绿,502,27.8888888889
19,2,绿,1652,86.9473684211
14,2,绿,467,33.3571428571
2,2,绿,82,41
41,2,绿,271.327,6.61773170732
18,2,绿,4616.12,256.451111111
9,2,绿,741,82.3333333333
9,2,绿,344,38.2222222222
7,2,绿,147,21
3,2,绿,66,22
18,2,绿,97,5.38888888889
9,2,绿,395,43.8888888889
3,2,绿,46,15.3333333333
13,2,绿,864,66.4615384615
2,2,绿,64,32
4,2,绿,100.63,25.1575
9,2,绿,61.458,6.82866666667
4,2,绿,2119,529.75
9,2,绿,626,69.5555555556
56,2,绿,188.434,3.36489285714
33,2,绿,6674,202.242424242
3,2,绿,44,14.6666666667
8,2,绿,323,40.375
2,2,绿,2,1
25,2,绿,947,37.88
4,2,绿,157,39.25
1,2,绿,7,7
3,2,绿,126,42
12,2,绿,417,34.75
29,2,绿,654.332,22.5631724138
12,2,绿,655,54.5833333333
10,2,绿,586,58.6
15,2,绿,43.669,2.91126666667
16,2,绿,142.242,8.890125
26,2,绿,1677.37,64.5142307692
